id,hospcode,areacode,date_com,b_year,r1_1,r1_2,r1_3,r1_4,r1_5,r1_6,r1_7,r2_1,r2_2,r3,r4,r5,r6
"297c1cb035778f7b49357693e6867e6c","06554","56090204","202511171152","2568",0,0,0,0,3,0,1,0,0,105,279,0,0
"297c1cb035778f7b49357693e6867e6c","05620","48020311","202511180414","2568",0,0,0,1,1,0,0,0,0,52,6,0,0
"297c1cb035778f7b49357693e6867e6c","07943","70051503","202511171608","2568",0,0,0,0,4,0,0,0,0,3,62,0,0
"297c1cb035778f7b49357693e6867e6c","13926","42050204","202511171419","2568",21,3,0,0,16,0,0,0,4,74,40,0,0
"297c1cb035778f7b49357693e6867e6c","07711","67010204","202511171159","2568",2,0,0,0,6,0,6,0,49,162,340,0,0
"297c1cb035778f7b49357693e6867e6c","07301","63020701","202511171737","2568",0,0,0,0,4,0,0,0,0,1,16,0,0
"297c1cb035778f7b49357693e6867e6c","06337","54010402","202511171007","2568",0,0,0,0,11,0,0,0,1,13,133,0,0
"297c1cb035778f7b49357693e6867e6c","08559","76010405","202511171249","2568",0,0,0,0,4,0,0,0,0,5,20,0,0
"297c1cb035778f7b49357693e6867e6c","06448","55010202","202511180251","2568",1,0,0,8,36,1,0,0,0,30,96,0,0
"297c1cb035778f7b49357693e6867e6c","11044","43070101","202511180301","2568",344,7,62,122,311,7,194,3,577,282,509,0,27
"297c1cb035778f7b49357693e6867e6c","08672","77010204","202511180351","2568",0,0,0,0,1,0,0,0,0,6,79,0,0
"297c1cb035778f7b49357693e6867e6c","01430","16010103","202511180436","2568",0,0,0,0,8,0,0,0,3,21,35,0,0
"297c1cb035778f7b49357693e6867e6c","00995","12010307","202511170715","2568",0,0,1,13,31,0,1,0,0,54,6,0,0
"297c1cb035778f7b49357693e6867e6c","04666","42010210","202511171419","2568",0,0,0,0,66,0,5,0,0,8,75,0,0
"297c1cb035778f7b49357693e6867e6c","11793","61070608","202511180549","2568",0,0,0,0,21,0,0,0,6,10,86,0,0
"297c1cb035778f7b49357693e6867e6c","77688","24080104","202511180446","2568",2,0,3,0,7,0,0,0,10,2,32,0,0
"297c1cb035778f7b49357693e6867e6c","11251","65030105","202511170854","2568",897,0,190,382,162,1,202,0,1776,529,603,0,20
